Type,GraspType,Object,Reponses,Instruction
Hold,MediumWrap,Frisbee,0,How would you hold a frisbee?
Hold,Tripod,Frisbee,2,How would you hold a frisbee?
Hold,Writing,Frisbee,0,How would you hold a frisbee?
Hold,Lateral,Gel pen,0,How would you hold a gel pen?
Hold,MediumWrap,Gel pen,0,How would you hold a gel pen?
Hold,Tripod,Gel pen,1,How would you hold a gel pen?
Hold,Writing,Gel pen,19,How would you hold a gel pen?
Hold,Lateral,Glasses,3,How would you hold glasses?
Hold,MediumWrap,Glasses,0,How would you hold glasses?
Hold,Tripod,Glasses,9,How would you hold glasses?
Hold,Writing,Glasses,8,How would you hold glasses?
Hold,Lateral,Glue stick,1,How would you hold a glue stick?
Hold,MediumWrap,Glue stick,11,How would you hold a glue stick?
Hold,Tripod,Glue stick,4,How would you hold a glue stick?
Hold,Writing,Glue stick,4,How would you hold a glue stick?
Hold,Lateral,Golf ball,3,How would you hold a golf ball?
Hold,MediumWrap,Golf ball,7,How would you hold a golf ball?
Hold,Tripod,Golf ball,10,How would you hold a golf ball?
Hold,Writing,Golf ball,0,How would you hold a golf ball?
Hold,Lateral,Hairbrush,9,How would you hold a hairbrush?
Hold,MediumWrap,Hairbrush,7,How would you hold a hairbrush?
Hold,Tripod,Hairbrush,2,How would you hold a hairbrush?
Hold,Writing,Hairbrush,2,How would you hold a hairbrush?
Hold,Lateral,Hammer,4,How would you hold a hammer?
Hold,MediumWrap,Hammer,13,How would you hold a hammer?
Hold,Tripod,Hammer,2,How would you hold a hammer?
Hold,Writing,Hammer,1,How would you hold a hammer?
Hold,Lateral,Handfan,13,How would you hold a handfan?
Hold,MediumWrap,Handfan,0,How would you hold a handfan?
Hold,Tripod,Handfan,3,How would you hold a handfan?
Hold,Writing,Handfan,4,How would you hold a handfan?
Hold,Lateral,Jar,1,How would you hold a jar?
Hold,MediumWrap,Jar,18,How would you hold a jar?
Hold,Tripod,Jar,0,How would you hold a jar?
Hold,Writing,Jar,1,How would you hold a jar?
Hold,Lateral,Jug,6,How would you hold a jug?
Hold,MediumWrap,Jug,11,How would you hold a jug?
Hold,Tripod,Jug,1,How would you hold a jug?
Hold,Writing,Jug,2,How would you hold a jug?
Hold,Lateral,Key,12,How would you hold a key?
Hold,MediumWrap,Key,0,How would you hold a key?
Hold,Tripod,Key,5,How would you hold a key?
Hold,Writing,Key,2,How would you hold a key?
Hold,Lateral,Kiwifruit,2,How would you hold a kiwifruit?
Hold,MediumWrap,Kiwifruit,3,How would you hold a kiwifruit?
Hold,Tripod,Kiwifruit,13,How would you hold a kiwifruit?
Hold,Writing,Kiwifruit,2,How would you hold a kiwifruit?
Hold,Lateral,Knife,6,How would you hold a knife?
Hold,MediumWrap,Knife,6,How would you hold a knife?
Hold,Tripod,Knife,0,How would you hold a knife?
Hold,Writing,Knife,7,How would you hold a knife?
Hold,Lateral,Ladle,10,How would you hold a ladle?
Hold,MediumWrap,Ladle,0,How would you hold a ladle?
Hold,Tripod,Ladle,0,How would you hold a ladle?
Hold,Writing,Ladle,10,How would you hold a ladle?
Hold,Lateral,Lemon,0,How would you hold a lemon?
Hold,MediumWrap,Lemon,8,How would you hold a lemon?
Hold,Tripod,Lemon,10,How would you hold a lemon?
Hold,Writing,Lemon,2,How would you hold a lemon?
Hold,Lateral,Lollipop,1,How would you hold a lollipop?
Hold,MediumWrap,Lollipop,5,How would you hold a lollipop?
Hold,Tripod,Lollipop,0,How would you hold a lollipop?
Hold,Writing,Lollipop,14,How would you hold a lollipop?
Hold,Lateral,Marble,2,How would you hold a marble?
Hold,MediumWrap,Marble,3,How would you hold a marble?
Hold,Tripod,Marble,13,How would you hold a marble?
Hold,Writing,Marble,2,How would you hold a marble?
